DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/asyncio/base_events.py first seen with mtime 1712665884.0
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/contrib/contenttypes/fields.py first seen with mtime 1743033736.2199812
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/templatetags/static.py first seen with mtime 1743033736.8984156
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/db/backends/base/schema.py first seen with mtime 1743033736.8227315
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/rest_framework/authentication.py first seen with mtime 1743033737.8424942
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pkgutil.py first seen with mtime 1712665884.0
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_bz2.cpython-312-darwin.so first seen with mtime 1712666321.0
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/xml/__init__.py first seen with mtime 1712665886.0
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/db/__init__.py first seen with mtime 1743033736.818974
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/core/mail/utils.py first seen with mtime 1743033736.8109434
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/template/backends/django.py first seen with mtime 1743033736.8960743
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/__init__.py first seen with mtime 1712665885.0
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/apps/registry.py first seen with mtime 1743033735.9340546
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/http/__init__.py first seen with mtime 1743033736.8846316
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/base64mime.py first seen with mtime 1712665885.0
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/asyncio/coroutines.py first seen with mtime 1712665884.0
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/__init__.py first seen with mtime 1743033735.9323385
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/html/parser.py first seen with mtime 1712665885.0
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/sqlparse/filters/right_margin.py first seen with mtime 1743033735.8758225
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/core/cache/utils.py first seen with mtime 1743033736.7989228
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pymysql/constants/SERVER_STATUS.py first seen with mtime 1743034046.2324307
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/importlib/metadata/_adapters.py first seen with mtime 1712665886.0
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/cryptography/hazmat/bindings/_rust.abi3.so first seen with mtime 1743034320.40661
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/encodings/__init__.py first seen with mtime 1712665885.0
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/cryptography/hazmat/primitives/_serialization.py first seen with mtime 1743034320.3355696
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/xml/dom/__init__.py first seen with mtime 1712665887.0
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/conf/global_settings.py first seen with mtime 1743033735.9345095
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/http/request.py first seen with mtime 1743033736.8850865
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py first seen with mtime 1712665884.0
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/rest_framework/settings.py first seen with mtime 1743033737.8459158
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/core/cache/backends/base.py first seen with mtime 1743033736.79922
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/urllib/__init__.py first seen with mtime 1712665886.0
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/core/handlers/wsgi.py first seen with mtime 1743033736.8104537
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/apps/config.py first seen with mtime 1743033735.9338546
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/utils/__init__.py first seen with mtime 1743033736.9011884
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/core/files/uploadedfile.py first seen with mtime 1743033736.8074183
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py first seen with mtime 1712665884.0
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/contrib/admin/sites.py first seen with mtime 1743033735.9969947
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/bisect.py first seen with mtime 1712665884.0
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/cryptography/hazmat/decrepit/__init__.py first seen with mtime 1743034320.333592
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/contrib/admin/widgets.py first seen with mtime 1743033735.997406
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/contrib/admin/utils.py first seen with mtime 1743033735.997284
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/views/static.py first seen with mtime 1743033736.9171212
DEBUG 2025-03-27 00:20:32,235 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/template/smartif.py first seen with mtime 1743033736.8955042
DEBUG 2025-03-27 00:20:32,236 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/sysconfig.py first seen with mtime 1712665884.0
DEBUG 2025-03-27 00:20:32,236 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pymysql/constants/CLIENT.py first seen with mtime 1743034046.2311144
DEBUG 2025-03-27 00:20:32,236 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/contrib/messages/constants.py first seen with mtime 1743033736.4522445
DEBUG 2025-03-27 00:20:32,236 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/getpass.py first seen with mtime 1712665884.0
DEBUG 2025-03-27 00:20:32,236 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/sqlparse/engine/filter_stack.py first seen with mtime 1743033735.8745232
DEBUG 2025-03-27 00:20:32,236 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/core/handlers/asgi.py first seen with mtime 1743033736.8100245
DEBUG 2025-03-27 00:20:32,236 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/views/__init__.py first seen with mtime 1743033736.9161477
DEBUG 2025-03-27 00:20:32,236 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/contextvars.py first seen with mtime 1712665884.0
DEBUG 2025-03-27 00:20:32,236 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/conf/urls/__init__.py first seen with mtime 1743033735.9945076
DEBUG 2025-03-27 00:20:32,236 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/forms/models.py first seen with mtime 1743033736.8634326
DEBUG 2025-03-27 00:20:32,236 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/contrib/staticfiles/checks.py first seen with mtime 1743033736.7948427
DEBUG 2025-03-27 00:20:32,236 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/contrib/auth/forms.py first seen with mtime 1743033736.1670349
DEBUG 2025-03-27 00:20:32,236 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/utils/deprecation.py first seen with mtime 1743033736.904328
DEBUG 2025-03-27 00:20:32,236 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/utils/cache.py first seen with mtime 1743033736.9019592
DEBUG 2025-03-27 00:20:32,236 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/views/generic/dates.py first seen with mtime 1743033736.9191425
DEBUG 2025-03-27 00:20:32,236 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/sqlparse/filters/others.py first seen with mtime 1743033735.875194
DEBUG 2025-03-27 00:20:32,236 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/importlib/_abc.py first seen with mtime 1712665886.0
DEBUG 2025-03-27 00:20:32,236 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/linecache.py first seen with mtime 1712665884.0
DEBUG 2025-03-27 00:20:32,236 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/contrib/contenttypes/views.py first seen with mtime 1743033736.220653
DEBUG 2025-03-27 00:20:32,236 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/_policybase.py first seen with mtime 1712665885.0
DEBUG 2025-03-27 00:20:32,236 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/utils/text.py first seen with mtime 1743033736.913178
DEBUG 2025-03-27 00:20:32,236 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/template/backends/__init__.py first seen with mtime 1743033736.8957973
DEBUG 2025-03-27 00:20:32,236 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/db/models/manager.py first seen with mtime 1743033736.8366685
DEBUG 2025-03-27 00:20:32,236 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/rest_framework/permissions.py first seen with mtime 1743033737.8446126
DEBUG 2025-03-27 00:20:32,236 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/core/servers/basehttp.py first seen with mtime 1743033736.8188145
DEBUG 2025-03-27 00:20:32,236 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/_compiler.py first seen with mtime 1712665886.0
DEBUG 2025-03-27 00:20:32,236 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/contrib/admin/templatetags/admin_list.py first seen with mtime 1743033736.1194992
DEBUG 2025-03-27 00:20:32,236 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/environ/__init__.py first seen with mtime 1743034207.1912189
DEBUG 2025-03-27 00:20:32,236 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/importlib/resources/_common.py first seen with mtime 1712665886.0
DEBUG 2025-03-27 00:20:32,236 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/views/decorators/__init__.py first seen with mtime 1743033736.9172466
